time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-07-07T11:23:54.780Z,14.724,-92.4614,53,6.9,mww,,51,0.263,1.38,us,usc000rr6a,2020-07-10T19:12:14.013Z,"4 km W of Puerto Madero, Mexico",earthquake,,1.8,,,reviewed,us,us
2014-05-13T06:35:24.240Z,7.2096,-82.3045,10,6.5,mww,,33,3.121,1.33,us,usb000qk64,2017-10-11T20:51:32.999Z,"110 km SE of Punta de Burica, Panama",earthquake,,1.3,,,reviewed,us,us
2014-05-12T18:38:36.700Z,-49.9403,-114.7995,10.47,6.5,mww,,35,23.164,1.16,us,usb000qjhh,2014-08-06T00:55:34.000Z,"southern East Pacific Rise",earthquake,,3,,,reviewed,us,us
2014-04-18T14:27:24.920Z,17.397,-100.9723,24,7.2,mww,,46,2.25,1.2,us,usb000pq41,2020-07-07T22:57:21.496Z,"9 km ENE of Coyuquilla Norte, Mexico",earthquake,,1.5,,,reviewed,us,us
2014-04-11T20:29:12.970Z,11.642,-85.8779,135,6.6,mww,,20,0.761,1.35,us,usc000pgsi,2020-07-10T19:07:40.575Z,"15 km N of Belén, Nicaragua",earthquake,,1.7,,,reviewed,us,us
2014-04-03T02:43:13.110Z,-20.5709,-70.4931,22.4,7.7,mww,,44,1.029,0.82,us,usc000p27i,2021-04-19T21:42:05.699Z,"53 km SW of Iquique, Chile",earthquake,,3.4,,,reviewed,us,us
2014-04-03T01:58:30.530Z,-20.3113,-70.5756,24.07,6.5,mww,,82,0.828,0.62,us,usc000p26f,2021-04-17T16:55:45.639Z,"45 km WSW of Iquique, Chile",earthquake,,2.7,,,reviewed,us,us
2014-04-01T23:57:58.790Z,-19.8927,-70.9455,28.42,6.9,mww,,119,0.828,0.93,us,usc000nzwm,2021-06-25T19:15:26.857Z,"90 km WNW of Iquique, Chile",earthquake,,4.2,,,reviewed,us,us
2014-04-01T23:46:47.260Z,-19.6097,-70.7691,25,8.2,mww,,23,0.609,0.66,us,usc000nzvd,2021-06-27T19:55:36.893Z,"93 km NW of Iquique, Chile",earthquake,,1.8,,,reviewed,us,us
2014-03-16T21:16:29.600Z,-19.9807,-70.7022,20,6.7,mww,,44,1.008,0.83,us,usc000ndnj,2021-03-13T19:16:50.285Z,"63 km WNW of Iquique, Chile",earthquake,,1.2,,,reviewed,us,us
2014-03-10T05:18:13.430Z,40.8286667,-125.1338333,16.441,6.8,mw,112,229,0.6568,0.15,nc,nc72182046,2020-07-10T14:24:50.669Z,"77 km WNW of Indianola, California",earthquake,0.64,1.88,,5,reviewed,nc,nc
2013-10-31T23:03:59.720Z,-30.2921,-71.5215,27,6.6,mww,,31,0.636,1.28,us,usb000kqnc,2020-07-10T18:21:06.829Z,"41 km SSW of Coquimbo, Chile",earthquake,,1.7,,,reviewed,us,us
2013-10-19T17:54:54.700Z,26.0913,-110.3209,9.45,6.6,mww,,44,1.98,1.1,us,usb000khbc,2020-07-10T18:20:12.984Z,"98 km SW of Etchoropo, Mexico",earthquake,,3,,,reviewed,us,us
2013-09-25T16:42:43.170Z,-15.8385,-74.5112,40,7.1,mww,,17,4.446,0.9,us,usb000jzma,2020-07-10T18:18:20.604Z,"16 km WSW of Atiquipa, Peru",earthquake,,1.8,,,reviewed,us,us
2013-08-13T15:43:15.200Z,5.7732,-78.1999,12,6.7,mww,,22,3.741,0.84,us,usb000j275,2020-07-10T18:14:40.926Z,"101 km WSW of Bahía Solano, Colombia",earthquake,,1.7,,,reviewed,us,us
2013-06-15T17:34:27.810Z,11.763,-86.926,30,6.5,mww,698,27,,1.22,us,usc000hrnr,2020-07-10T18:55:41.589Z,"44 km W of Masachapa, Nicaragua",earthquake,,,,,reviewed,us,us
2013-02-09T14:16:07.880Z,1.135,-77.393,145,6.9,mww,562,23.7,,0.91,us,usc000f4ij,2020-07-10T18:49:29.953Z,"2 km NNE of Yacuanquer, Colombia",earthquake,,,,,reviewed,us,us
2013-01-30T20:15:43.340Z,-28.094,-70.653,45,6.8,mww,596,19.3,,1.07,us,usc000eyp3,2020-07-14T01:01:12.463Z,"54 km N of Vallenar, Chile",earthquake,,,,,reviewed,us,us
2012-11-11T22:14:59.240Z,14.129,-92.164,20,6.5,mww,598,57.3,,1.08,us,usp000jvdf,2020-09-21T18:31:02.989Z,"32 km SW of Champerico, Guatemala",earthquake,,,,,reviewed,us,us
2012-11-07T16:35:46.930Z,13.988,-91.895,24,7.4,mww,751,25.5,,1.27,us,usp000jv5f,2020-10-20T23:27:59.481Z,"33 km S of Champerico, Guatemala",earthquake,,,,,reviewed,us,us
2012-10-24T00:45:32.990Z,10.086,-85.298,17,6.5,mww,691,34.4,,0.85,us,usp000jucg,2020-09-21T18:27:33.081Z,"Costa Rica",earthquake,,,,,reviewed,us,us
2012-09-30T16:31:35.970Z,1.929,-76.362,170,7.3,mww,934,15.5,,0.87,us,usp000jta1,2020-09-21T18:25:02.268Z,"11 km WNW of San Agustín, Colombia",earthquake,,,,,reviewed,us,us
2012-09-05T14:42:07.800Z,10.085,-85.315,35,7.6,mww,703,34.3,,1.2,us,usp000jrsw,2020-08-15T05:40:52.367Z,"11 km ENE of Hojancha, Costa Rica",earthquake,,,,,reviewed,us,us
2012-08-27T04:37:19.430Z,12.139,-88.59,28,7.3,mww,417,37,,1.3,us,usp000jqvm,2020-09-21T18:21:44.315Z,"126 km S of Puerto El Triunfo, El Salvador",earthquake,,,,,reviewed,us,us
2012-04-17T03:50:15.610Z,-32.625,-71.365,29,6.7,mww,518,26.9,,0.96,us,usp000jj3u,2021-03-10T00:36:21.008Z,"22 km NW of Hacienda La Calera, Chile",earthquake,,,,,reviewed,us,us
2012-04-12T07:15:48.500Z,28.696,-113.104,13,7,mww,474,95.9,,1.18,us,usp000jhr6,2020-09-21T18:04:24.284Z,"69 km ENE of San Luis, Mexico",earthquake,,,,,reviewed,us,us
2012-04-11T22:55:10.250Z,18.229,-102.689,20,6.5,mwb,599,54.1,,0.98,us,usp000jhpj,2020-09-21T18:03:54.732Z,"41 km NW of El Habillal, Mexico",earthquake,,,,,reviewed,us,us
2012-03-25T22:37:06.000Z,-35.2,-72.217,40.7,7.1,mww,553,15.2,,,us,usp000jgsw,2020-09-21T18:02:10.760Z,"23 km NE of Constitución, Chile",earthquake,,,,,reviewed,guc,us
2012-03-20T18:02:47.440Z,16.493,-98.231,20,7.4,mww,672,37.9,,0.98,us,usp000jghj,2021-02-18T19:35:05.275Z,"6 km E of Santiago Llano Grande, Mexico",earthquake,,,,,reviewed,us,us
2011-12-11T01:47:25.560Z,17.986,-99.789,59,6.5,mww,578,38.6,,0.93,us,usp000jc1y,2020-09-21T17:52:55.434Z,"6 km SSW of Nuevo Balsas, Mexico",earthquake,,,,,reviewed,us,us
2011-11-22T18:48:16.300Z,-15.364,-65.09,549.9,6.6,mww,832,11.2,,0.8,us,usp000jb98,2017-04-26T18:12:50.539Z,"62 km SSW of Trinidad, Bolivia",earthquake,,,,,reviewed,us,us
2011-10-28T18:54:34.040Z,-14.438,-75.966,24,6.9,mww,474,46.5,,1,us,usp000ja1p,2020-09-21T17:48:42.914Z,"39 km SW of Santiago, Peru",earthquake,,,,,reviewed,us,us
2011-08-24T17:46:11.650Z,-7.641,-74.525,147,7,mww,471,26.9,,0.87,us,usp000j6z8,2020-09-21T17:42:52.880Z,"64 km ESE of Contamana, Peru",earthquake,,,,,reviewed,us,us
2011-04-07T13:11:22.400Z,17.208,-94.338,166.2,6.6,mww,518,37.2,,,us,usp000hzf3,2020-09-21T17:27:46.017Z,"7 km SW of Helio García Alfaro, Mexico",earthquake,,,,,reviewed,unm,us
2011-02-14T03:40:09.920Z,-35.38,-72.834,21,6.7,mww,358,33.9,,0.97,us,usp000hugg,2021-02-24T22:03:00.618Z,"38 km W of Constitución, Chile",earthquake,,,,,reviewed,us,us
2011-02-11T20:05:30.910Z,-36.422,-72.96,26,6.9,mww,382,34.7,,1.27,us,usp000huc2,2021-02-24T22:05:17.315Z,"21 km N of Tomé, Chile",earthquake,,,,,reviewed,us,us
2011-01-02T20:20:17.780Z,-38.355,-73.326,24,7.2,mww,397,30.1,,1.1,us,usp000hsfq,2021-03-08T21:44:55.940Z,"42 km NNW of Carahue, Chile",earthquake,,,,,reviewed,us,us
2010-10-21T17:53:13.570Z,24.696,-109.156,13,6.7,mwc,352,50.3,,1.21,us,usp000hncm,2020-09-21T17:03:03.915Z,"97 km SSW of El Huitusi, Mexico",earthquake,,,,,reviewed,us,us
2010-08-12T11:54:15.580Z,-1.266,-77.306,206.7,7.1,mwc,672,12.4,,0.87,us,usp000hj05,2020-09-21T16:58:28.677Z,"Ecuador",earthquake,,,,,reviewed,us,us
2010-07-14T08:32:21.490Z,-38.067,-73.31,22,6.6,mwc,295,52.8,,0.86,us,usp000hf8z,2021-02-24T22:01:06.464Z,"30 km SSE of Cañete, Chile",earthquake,,,,,reviewed,us,gcmt
2010-05-24T16:18:29.090Z,-8.087,-71.558,581.2,6.5,mwc,460,22.8,,0.8,us,usp000hd4k,2017-04-26T18:10:57.554Z,"87 km W of Tarauacá, Brazil",earthquake,,,,,reviewed,us,us
2010-04-04T22:40:42.360Z,32.2861667,-115.2953333,9.987,7.2,mw,10,239,0.5137,0.11,ci,ci14607652,2021-08-14T22:34:29.092Z,"12km SW of Delta, B.C., MX",earthquake,1.81,31.61,,0,reviewed,ci,ci
2010-03-16T02:21:57.940Z,-36.217,-73.257,18,6.7,mwc,312,34.7,,0.93,us,usp000h9fs,2021-02-24T22:03:33.609Z,"52 km NNW of Tomé, Chile",earthquake,,,,,reviewed,us,us
