"Search Parameters"	"Year"	"Mo"	"Dy"	"Country"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"
"[""1900 <= Year >= 2020""]"																	
	1907	10	21	"TAJIKISTAN"	40	"TAJIKISTAN:   KARATAG"	38.5	67.9	35	7.4	9	12000	4				3
	1907	10	23	"ITALY"	130	"ITALY:  FERRUZANO"	38.133	16.017	33	5.9	10	158	3				2
	1907	11	16	"PERU"	160	"PERU"	-8.01	-76.79	150		6						
	1907	11	24	"PHILIPPINES"	170	"PHILIPPINES:  SE LUZON:  CAMARINES"	14	123			9						2
	1907	12	15	"PAPUA NEW GUINEA"	170	"PAPUA NEW GUINEA:  BISMARCK SEA"	-3.1	142.5	33	7.4							
	1907			"TONGA"	170	"TONGA ISLANDS:  S OF TONGA"	-21.17	-175.73									
	1908	2	6	"INDONESIA"	60	"SW. SUMATRA"	-2	100	130	7.5							
	1908	2	14	"USA"	150	"ALASKA:  GULF OF ALASKA"	61	-146.2		6							
	1908	3	5	"PHILIPPINES"	170	"PHILIPPINES:  MINDANAO"	9	126		7.5							
	1908	3	23	"INDONESIA"	60	"INDONESIA:  TIMOR"	-10	129		6.6							1
	1908	3	26	"MEXICO"	150	"MEXICO:  GUERRERO"	18	-99	80	8.1							2
	1908	3	27	"MEXICO"	150	"MEXICO:  GUERRERO"	17	-101		7.5							
	1908	5	5	"INDONESIA"	170	"INDONESIA:  CELEBES SEA"	3	123		7.5							
	1908	9	21	"USA"	150	"HAWAII"	19	-155	33	6.8							
	1908	10	23	"AFGHANISTAN"	40	"AFGHANISTAN:  HINDU KUSH"	36.5	70.5	220	7							
	1908	11	6	"RUSSIA"	50	"RUSSIA:  KURIL ISLANDS"	45	150	40	7.6							
	1908	12	12	"PERU"	160	"PERU:  OFF COAST"	-14	-78									
	1908	12	12	"MYANMAR (BURMA)"	60	"MYANMAR (BURMA):  KACHIN"	26.639	96.866	15	7.2							
	1908	12	28	"ITALY"	130	"ITALY:  MESSINA, SICILY, CALABRIA"	38.17	15.58	40	7	11	78000	4			116	4
	1909	1	19	"TURKEY"	140	"TURKEY:  FOCA,MENEMEN,GUZELHISAR"	38.6	26.9		5.8	9	8	1				3
	1909	1	23	"IRAN"	140	"IRAN:  SILAKOR"	34.306	50.396	15	7.3	9	5500	4				2
	1909	1	29	"MOROCCO"	15	"MOROCCO:  TETUAN (TETOUAN),ROMARS"	35.6	-5.4				100	2				3
	1909	2	9	"TURKEY"	140	"TURKEY:  ZARA,IPSALA,KOYULHISAR,ENDERS"	40.2	37.8		6.3	9		3				3
	1909	2	22	"FIJI"	170	"FIJI ISLANDS"	-18	-179	550	7.8							
	1909	3	12	"JAPAN"	30	"JAPAN:  CHOSHI"	34.5	141.5		6.7							1
	1909	3	13	"JAPAN"	30	"JAPAN:  YOKOHAMA"	34.5	141.5	80	7.5							1
	1909	3	18	"PHILIPPINES"	170	"PHILIPPINES:  MINDANAO:  E"	8	127			8						2
	1909	3	23	"ITALY"	130	"ITALY:  N"	44.5	10.5			12						
	1909	4	10	"USA"	150	"ALASKA:  ALEUTIAN ISLANDS"	52	175		7.8							
	1909	4	14	"TAIWAN"	30	"TAIWAN:  TAIPEI"	25	121.5		7.3		9	1	51	2		1
	1909	4	23	"PORTUGAL"	130	"PORTUGAL:  RIBATEJO, BENAVENTE"	38.9	-8.8		6.6	10	30	1				2
	1909	4	26	"CAMEROON"	10	"CAMEROON:  BUEA"	4.2	9.2									1
	1909	5	11	"CHINA"	30	"CHINA:  YUNNAN PROVINCE"	24.4	103		6.5	8	21	1				2
	1909	6	3	"INDONESIA"	60	"INDONESIA:  SW SUMATRA:  KERINTJI, REDJANGLEBONG"	-2	101	40	7.6			3				3
	1909	6	7	"ITALY"	130	"ITALY:  CENTRAL"	43.2	11.5			12						
	1909	6	8	"CHILE"	160	"CHILE"	-26.5	-70.5		7.6							
	1909	6	11	"FRANCE"	120	"FRANCE:  VERNEGUES,CHARLEVAL,LA ROQUE D'ANTHERON"	43.7	5.4		6.2	10	40	1				2
	1909	7	7	"AFGHANISTAN"	40	"AFGHANISTAN:  HINDU-KUSH"	36.5	70.5	230	8.1	7						
	1909	7	8	"PAKISTAN"	60	"PAKISTAN"	35.5	72.5				10	1				1
	1909	7	8	"VANUATU"	170	"VANUATU ISLANDS:  ESPIRITU SANTO"	-15.5	167.2									2
	1909	7	15	"GREECE"	130	"GREECE:  CHAVARI (ELIS)"	37.9	21.5	4	5.7	10		1				
	1909	7	30	"MEXICO"	150	"MEXICO:  ACAPULCO"	16.8	-99.8		7.8							3
	1909	8	14	"JAPAN"	30	"JAPAN:  OOMI"	35.4	136.3	33	6.9		41	1				3
	1909	8	24	"ITALY"	130	"ITALY:  CENTRAL"	43.2	11.5			12						
	1909	10	6	"USA"	150	"UTAH"	41.8	-112.7			7						1
	1909	10	20	"PAKISTAN"	60	"PAKISTAN"	30	68	60	7.2		231	3				2
	1909	10	21	"ITALY"	130	"ITALY:  SICILY"	37.7	15.2	5		12						
	1909	10	29	"TURKEY"	140	"TURKEY:  KOGLACIK"	40.3	29.6		5.8	8						3
	1909	10	31	"MEXICO"	150	"MEXICO:  GUERRERO,MICHOACAN"	17	-101.2		4.7							3
	1909	11	10	"JAPAN"	30	"JAPAN:  KYUSHU"	32	131	190	7.9							
	1909	11	21	"TAIWAN"	30	"TAIWAN"	24.4	121.8		7.3		4	1				1
